employee,department,project_name,project_code,mon,tue,wed,thu,fri,sat,sun,total,week_start
John Doe,Engineering,AI,,0,0,0,2,0,0,0,2,2026-01-12
John Doe,Engineering,BIM,,0,0,0,0,0,0,0,0,2026-01-12
John Doe,Engineering,Digital Technology,,0,0,0,0,0,0,0,0,2026-01-12
John Doe,Engineering,Smart R&D,,0,0,0,0,0,0,0,0,2026-01-12
John Doe,Engineering,기타 (Etc),,0,0,0,0,0,0,0,0,2026-01-12
Sidebar Test,QA,AI,,0,0,0,1,0,0,0,1,2026-01-12
Sidebar Test,QA,BIM,,0,0,0,0,0,0,0,0,2026-01-12
Sidebar Test,QA,Digital Technology,,0,0,0,0,0,0,0,0,2026-01-12
Sidebar Test,QA,Smart R&D,,0,0,0,0,0,0,0,0,2026-01-12
Sidebar Test,QA,기타 (Etc),,0,0,0,0,0,0,0,0,2026-01-12
최형태,기술연구소,AI,,0,0,0,0,2,0,0,2,2026-01-12
최형태,기술연구소,BIM,,0,0,0,0,0,0,0,0,2026-01-12
최형태,기술연구소,Digital Technology,,0,0,0,0,0,0,0,0,2026-01-12
최형태,기술연구소,Smart R&D,,0,0,0,0,2,0,0,2,2026-01-12
최형태,기술연구소,기타 (Etc),,0,0,0,0,4,0,0,4,2026-01-12
김진희,스마트기술개발팀,AI,,0,0,0,0,2,0,0,2,2026-01-12
김진희,스마트기술개발팀,BIM,,0,0,0,0,6,0,0,6,2026-01-12
김진희,스마트기술개발팀,Digital Technology,,0,0,0,0,0,0,0,0,2026-01-12
김진희,스마트기술개발팀,Smart R&D,,0,0,0,0,2,0,0,2,2026-01-12
김진희,스마트기술개발팀,기타 (Etc),,0,0,0,0,0,0,0,0,2026-01-12
박지수,인프라BIM팀,AI,,7,8,7,3,8,0,0,33,2024-12-30
박지수,인프라BIM팀,BIM,,3,1,7,7,2,0,0,20,2024-12-30
박지수,인프라BIM팀,Digital Technology,,0,0,7,7,1,0,0,15,2024-12-30
이민호,기술연구소,BIM,,5,7,5,5,1,0,0,23,2024-12-30
정수빈,AI응용팀,BIM,,2,4,6,4,4,0,0,20,2024-12-30
한태양,디지털기술개발팀,Smart R&D,,6,3,6,2,8,0,0,25,2024-12-30
한태양,디지털기술개발팀,BIM,,5,7,1,2,5,0,0,20,2024-12-30
강서연,R&D센터,Digital Technology,,0,0,6,4,8,0,0,18,2024-12-30
강서연,R&D센터,Smart R&D,,0,8,1,5,7,0,0,21,2024-12-30
박지수,인프라BIM팀,Digital Technology,,8,8,7,6,3,0,0,32,2025-01-06
이민호,기술연구소,AI,,0,3,2,5,6,0,0,16,2025-01-06
이민호,기술연구소,BIM,,5,4,1,8,2,0,0,20,2025-01-06
이민호,기술연구소,Digital Technology,,7,6,2,6,7,0,0,28,2025-01-06
정수빈,AI응용팀,Smart R&D,,2,1,5,7,1,0,0,16,2025-01-06
정수빈,AI응용팀,BIM,,3,2,1,2,2,0,0,10,2025-01-06
한태양,디지털기술개발팀,AI,,1,7,7,7,4,0,0,26,2025-01-06
강서연,R&D센터,AI,,4,0,3,4,4,0,0,15,2025-01-06
강서연,R&D센터,기타 (Etc),,4,6,3,5,2,0,0,20,2025-01-06
박지수,인프라BIM팀,기타 (Etc),,5,1,7,8,8,0,0,29,2025-01-13
이민호,기술연구소,AI,,5,5,8,6,1,0,0,25,2025-01-13
정수빈,AI응용팀,기타 (Etc),,6,4,2,1,3,0,0,16,2025-01-13
정수빈,AI응용팀,Digital Technology,,5,8,4,1,4,0,0,22,2025-01-13
정수빈,AI응용팀,BIM,,2,3,0,5,2,0,0,12,2025-01-13
한태양,디지털기술개발팀,AI,,1,0,7,4,3,0,0,15,2025-01-13
강서연,R&D센터,BIM,,6,3,4,0,0,0,0,13,2025-01-13
강서연,R&D센터,Smart R&D,,3,6,2,7,6,0,0,24,2025-01-13
박지수,인프라BIM팀,BIM,,5,3,2,1,6,0,0,17,2025-01-20
박지수,인프라BIM팀,AI,,4,7,3,3,4,0,0,21,2025-01-20
박지수,인프라BIM팀,Digital Technology,,8,6,7,1,6,0,0,28,2025-01-20
이민호,기술연구소,BIM,,7,6,3,0,3,0,0,19,2025-01-20
이민호,기술연구소,AI,,3,1,0,0,1,0,0,5,2025-01-20
정수빈,AI응용팀,기타 (Etc),,2,8,3,6,0,0,0,19,2025-01-20
정수빈,AI응용팀,Smart R&D,,4,8,5,2,7,0,0,26,2025-01-20
정수빈,AI응용팀,Digital Technology,,6,7,3,3,6,0,0,25,2025-01-20
한태양,디지털기술개발팀,Smart R&D,,8,1,6,7,4,0,0,26,2025-01-20
강서연,R&D센터,AI,,7,4,3,6,5,0,0,25,2025-01-20
강서연,R&D센터,BIM,,4,2,0,7,8,0,0,21,2025-01-20
강서연,R&D센터,Digital Technology,,6,0,2,3,6,0,0,17,2025-01-20
박지수,인프라BIM팀,BIM,,3,0,3,6,0,0,0,12,2025-01-27
박지수,인프라BIM팀,AI,,8,0,3,5,7,0,0,23,2025-01-27
이민호,기술연구소,AI,,3,6,4,6,2,0,0,21,2025-01-27
이민호,기술연구소,BIM,,5,0,2,0,2,0,0,9,2025-01-27
이민호,기술연구소,Digital Technology,,8,0,7,4,0,0,0,19,2025-01-27
정수빈,AI응용팀,AI,,1,3,1,1,8,0,0,14,2025-01-27
정수빈,AI응용팀,BIM,,1,2,2,6,0,0,0,11,2025-01-27
정수빈,AI응용팀,Smart R&D,,7,6,3,0,6,0,0,22,2025-01-27
한태양,디지털기술개발팀,기타 (Etc),,6,1,4,6,3,0,0,20,2025-01-27
한태양,디지털기술개발팀,BIM,,3,3,1,6,7,0,0,20,2025-01-27
강서연,R&D센터,AI,,2,6,8,1,8,0,0,25,2025-01-27
강서연,R&D센터,기타 (Etc),,6,3,2,6,4,0,0,21,2025-01-27
강서연,R&D센터,BIM,,7,4,7,1,4,0,0,23,2025-01-27
